Encoder,Bench.,PH_Total_Gate,Tetris_Total_Gate,Improv._Total_Gate,PH_CNOT_Gate,Tetris_CNOT_Gate,Improv._CNOT_Gate,PH_Depth,Tetris_Depth,Improv._Depth,PH_duration,Tetris_duration,Improv._duration
jordan_wigner,LiH,9214,8810,-4.38%,5300,4389,-17.19%,6156,5480,-10.98%,7875552,6014656,-23.63%
jordan_wigner,BeH2,25500,21124,-17.16%,15075,10359,-31.28%,16033,12845,-19.88%,21322272,13804544,-35.26%
jordan_wigner,CH4,72504,63032,-13.06%,44901,31082,-30.78%,46493,37228,-19.93%,60151328,39946336,-33.59%
jordan_wigner,MgH2,143181,127741,-10.78%,90291,63395,-29.79%,97096,74542,-23.23%,130856224,80589184,-38.41%
jordan_wigner,LiCl,342457,273285,-20.20%,225277,139487,-38.08%,245791,157914,-35.75%,345879456,176295936,-49.03%
jordan_wigner,CO2,428234,330978,-22.71%,284065,168524,-40.67%,306444,191109,-37.64%,427808160,209893440,-50.94%
bravyi_kitaev,LiH,14761,14137,-4.23%,10074,8455,-16.07%,10790,8664,-19.70%,16283840,10813184,-33.60%
bravyi_kitaev,BeH2,33135,29314,-11.53%,22045,17327,-21.40%,23140,17765,-23.23%,34021216,21496448,-36.81%
bravyi_kitaev,CH4,101645,94776,-6.76%,64141,56685,-11.62%,61472,53578,-12.84%,84994816,65013088,-23.51%
bravyi_kitaev,MgH2,216229,189524,-12.35%,142154,113293,-20.30%,139656,107019,-23.37%,204152448,132266208,-35.21%
bravyi_kitaev,LiCl,452473,393266,-13.09%,292643,232941,-20.40%,285856,215386,-24.65%,406060640,264972640,-34.75%
bravyi_kitaev,CO2,567460,467301,-17.65%,384962,276737,-28.11%,381209,260556,-31.65%,567846208,321595968,-43.37%
random,UCC-10,12295,10507,-14.54%,7647,5132,-32.89%,9366,6657,-28.92%,12673120,7164608,-43.47%
random,UCC-15,29053,26361,-9.27%,17273,13643,-21.02%,18877,16256,-13.88%,25003392,17703072,-29.20%
random,UCC-20,57438,51817,-9.79%,36482,27921,-23.47%,37676,30237,-19.74%,51390688,33850304,-34.13%
random,UCC-25,99365,87329,-12.11%,66011,49374,-25.20%,64775,49621,-23.39%,93207872,56793600,-39.07%
random,UCC-30,151086,131374,-13.05%,102335,76035,-25.70%,95710,72575,-24.17%,136318720,85008864,-37.64%
random,UCC-35,214476,187763,-12.46%,149078,111574,-25.16%,137840,101493,-26.37%,192024640,121185024,-36.89%
