Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,187.55906586908952,343.8710480834863,4.868874332811522,-0.33288452456257106,0.04899999999999993,0.041200000000000014,0.0568,5112.888888888889,0.00011692799631673413,0.00011692799631673413,0.00011692799631673413,0_10:0.0026485369519452795; 0_1:1,0_10:512; 0_1:561.7777777777777
1,124.2230541019999,192.54331045015843,4.7141214505623665,-0.33495687008448577,0.016799999999999926,0.02859999999999996,0.005,5112.888888888889,0.0005297669018722945,0.0005297669018722945,0.0005297669018722945,1_2:1; 1_0:1,1_2:512; 1_0:512
2,178.65108245704823,133.5824513297779,4.6084339017998435,-0.33621130785905257,0.010000000000000009,0.013333333333333308,0.006666666666666667,5112.888888888889,0.00015353920531896025,0.00015353920531896025,0.00015353920531896025,2_3:0.02458906992017476; 2_1:1,2_3:512; 2_1:561.7777777777777
3,217.30166591504695,159.8898940948617,4.839556761094912,-0.3334838642777376,0.05666666666666664,0.06999999999999995,0.043333333333333335,5112.888888888889,0.0006834226919446846,0.0006834226919446846,0.0006834226919446846,3_4:0.2277289261383364; 3_2:0.02458906992017476,3_4:512; 3_2:561.7777777777777
4,231.97518616663902,197.23553987516453,4.713131240412872,-0.3274848235964403,0.19166666666666665,0.17333333333333334,0.21,5112.888888888889,0.0003902431309901371,0.0003902431309901371,0.0003902431309901371,4_5:0.014508519520970403; 4_3:0.2277289261383364; 4_11:1,4_5:561.7777777777777; 4_3:561.7777777777777; 4_11:512
5,24.49519246835431,57.835828517431295,4.828486845020778,-0.3329615285294468,0.03833333333333333,0.030000000000000027,0.04666666666666667,5112.888888888889,0.0012973604879571977,0.0012973604879571977,0.0012973604879571977,5_6:0.015385631865099558; 5_4:0.014508519520970403,5_6:512; 5_4:512
6,192.49238842311155,276.242105544934,4.638575792886668,-0.336623527998755,0.01770000000000005,0.01859999999999995,0.0168,5112.888888888889,0.00016631388990519868,0.00016631388990519868,0.00016631388990519868,6_5:0.015385631865099558; 6_7:0.018014037855927006,6_5:561.7777777777777; 6_7:561.7777777777777
7,112.14597722686761,245.37916942492856,4.903293895035962,-0.3319903504133365,0.04820000000000002,0.07779999999999998,0.0186,5112.888888888889,0.0010550553146172895,0.0010550553146172895,0.0010550553146172895,7_8:0.00841759780246995; 7_6:0.018014037855927006,7_8:512; 7_6:512
8,181.09239516552353,62.08237131409829,4.725725566310898,-0.32600447675359456,0.026666666666666616,0.026666666666666616,0.02666666666666667,5112.888888888889,0.00016339864032866532,0.00016339864032866532,0.00016339864032866532,8_12:0.006159236074248509; 8_9:0.008113372077972386; 8_7:0.00841759780246995,8_12:512; 8_9:561.7777777777777; 8_7:561.7777777777777
9,104.07194370858583,106.40327902103867,4.780192270223677,-0.33376911600927606,0.0033333333333334103,0.00666666666666671,0,5112.888888888889,0.00016204814201896856,0.00016204814201896856,0.00016204814201896856,9_8:0.008113372077972386,9_8:512
10,195.95086063372474,359.80398683112384,4.767024330386675,-0.3296739983435175,0.09333333333333327,0.07999999999999996,0.10666666666666667,5112.888888888889,0.00014535685195383888,0.00014535685195383888,0.00014535685195383888,10_0:0.0026485369519452795; 10_13:0.008772092091653444,10_0:561.7777777777777; 10_13:561.7777777777777
11,187.6142915901583,65.97042395357907,4.655869755905567,-0.35380742421343797,0.01429999999999998,0.015199999999999991,0.0134,5112.888888888889,0.0003116510414460719,0.0003116510414460719,0.0003116510414460719,11_4:1; 11_17:1,11_4:561.7777777777777; 11_17:561.7777777777777
12,115.81878241753165,188.17322345206918,4.849227766492478,-0.3329279103687242,0.018333333333333313,0.020000000000000018,0.016666666666666666,5112.888888888889,0.0002010264093789903,0.0002010264093789903,0.0002010264093789903,12_21:0.008506749010427389; 12_8:0.006159236074248509,12_21:512; 12_8:561.7777777777777
13,186.2593318233508,215.67250821570238,4.8102865142588875,-0.3333159486982632,0.01333333333333342,0.01666666666666672,0.01,5112.888888888889,0.00024359592438848602,0.00024359592438848602,0.00024359592438848602,13_14:0.007763051060815207; 13_10:0.008772092091653444,13_14:512; 13_10:512
14,109.23722597498917,94.59554467302186,4.71358074631723,-0.33075269968391613,0.11499999999999999,0.08333333333333333,0.1466666666666666,5112.888888888889,0.0003268972701677467,0.0003268972701677467,0.0003268972701677467,14_13:0.007763051060815207; 14_15:0.024697861115390574,14_13:561.7777777777777; 14_15:561.7777777777777
15,28.46120944736996,30.497008839880387,4.754274414691134,-0.3329369490224131,0.40349999999999997,0.7542,0.0528,5112.888888888889,0.06887531183120307,0.06887531183120307,0.06887531183120307,15_24:0.015908777531665946; 15_14:0.024697861115390574; 15_16:0.015996039844745708,15_24:561.7777777777777; 15_14:512; 15_16:512
16,139.3206145370847,90.48017995248186,4.633732416318766,-0.3275391435144695,0.11499999999999999,0.10640000000000005,0.1236,5112.888888888889,0.00021388625609776235,0.00021388625609776235,0.00021388625609776235,16_17:0.006546133963590217; 16_15:0.015996039844745708,16_17:561.7777777777777; 16_15:561.7777777777777
17,198.73142061284562,160.91902782530445,4.717245592363584,-0.3334737471331216,0.04833333333333334,0.040000000000000036,0.056666666666666664,5112.888888888889,0.000491751982833796,0.000491751982833796,0.000491751982833796,17_18:0.007870356476676804; 17_16:0.006546133963590217; 17_11:1,17_18:512; 17_16:512; 17_11:512
18,221.53793095680274,161.43142239294303,4.8134412383142315,-0.33159627728156327,0.026666666666666616,0.023333333333333317,0.03,5112.888888888889,0.00012854149577026902,0.00012854149577026902,0.00012854149577026902,18_17:0.007870356476676804; 18_19:0.004557992200835387,18_17:561.7777777777777; 18_19:512
19,286.1456876672636,249.75579560088212,4.583181088704251,-0.33868208432833374,0.02833333333333332,0.013333333333333308,0.043333333333333335,5112.888888888889,0.00018507998975165563,0.00018507998975165563,0.00018507998975165563,19_25:0.005077164431859876; 19_18:0.004557992200835387; 19_20:0.006020070295000068,19_25:561.7777777777777; 19_18:561.7777777777777; 19_20:561.7777777777777
