Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,4.838188389422256,46.512908948656964,72.86552300827451,9.800000000000009e-2,0.0005195476779098517,"cx0_10: 1.544e-2 , cx0_1: 1.172e-2 "
1,4.681071222205934,81.36599461347062,80.84573527353174,3.1299999999999994e-2,0.0004907985578664696,"cx1_0: 1.172e-2 , cx1_2: 1.526e-2 "
2,4.946581507476636,59.91620434792982,88.21120029119037,2.970000000000006e-2,0.0004544191522954488,"cx2_1: 1.526e-2 , cx2_3: 1.627e-2 "
3,4.765707428753585,56.233451312474074,94.64191977258845,2.3299999999999987e-2,0.000675355297871987,"cx3_4: 1.372e-2 , cx3_2: 1.627e-2 "
4,4.710166434205475,56.14759385915768,94.30379432137065,1.750000000000007e-2,0.0007578711197864176,"cx4_3: 1.372e-2 , cx4_5: 1.428e-2 , cx4_11: 1.246e-2 "
5,4.574274742735417,66.0643002985194,43.47026166032691,3.8799999999999946e-2,0.000322038433466937,"cx5_4: 1.428e-2 , cx5_6: 9.381e-3 "
6,4.758337147090129,60.81334817811922,99.7294441449488,2.6799999999999935e-2,0.0003175560761455209,"cx6_5: 9.381e-3 , cx6_7: 1.164e-2 "
7,4.630151118299709,73.54400201402639,85.35460358501864,2.059999999999995e-2,0.0003231704716807478,"cx7_6: 1.164e-2 , cx7_8: 1.367e-2 "
8,4.778075721524834,40.83657563652321,60.42419700698767,2.7100000000000013e-2,0.000427074153320526,"cx8_9: 1.404e-2 , cx8_12: 2.774e-2 , cx8_7: 1.367e-2 "
9,4.929229647319299,58.75280225173262,93.44261806989826,1.090000000000002e-2,0.000338519221678904,"cx9_8: 1.404e-2 "
10,4.688242243898989,69.97063035609075,102.56183457979591,4.930000000000001e-2,0.0008882400926023993,"cx10_0: 1.544e-2 , cx10_13: 1.468e-2 "
11,4.763915412553678,44.12927345210449,67.0060752802393,7.569999999999999e-2,0.0006310529335419147,"cx11_4: 1.246e-2 , cx11_17: 9.895e-3 "
12,4.939143803929046,86.01861664799942,112.52735210599783,1.4399999999999968e-2,0.0005249887080094549,"cx12_21: 1.767e-2 , cx12_8: 2.774e-2 "
13,4.840228779738809,67.44762968416673,55.35746465959845,1.3700000000000045e-2,0.0003397577157748552,"cx13_10: 1.468e-2 , cx13_14: 2.656e-2 "
14,4.63208430723667,47.393542323924,7.743330356819912,1.0620000000000007e-1,0.0021799951425598755,"cx14_15: 3.504e-2 , cx14_13: 2.656e-2 "
15,4.802977018082141,75.01598154085112,87.28261406929555,3.380000000000005e-2,0.0005406243645608704,"cx15_14: 3.504e-2 , cx15_16: 1.070e-2 , cx15_24: 9.517e-3 "
16,4.6489928828855716,89.10968225035273,108.13031845224072,4.200000000000004e-2,0.00031371755477419574,"cx16_15: 1.070e-2 , cx16_17: 1.185e-2 "
17,4.877035614533249,43.375712001707285,53.44099318241985,1.4699999999999935e-2,0.00043858111565138106,"cx17_16: 1.185e-2 , cx17_18: 1.083e-2 , cx17_11: 9.895e-3 "
18,4.817103000294365,76.50445160524498,87.32032591389952,1.4799999999999924e-2,0.0003713811059442887,"cx18_19: 1.232e-2 , cx18_17: 1.083e-2 "
19,4.999253633236205,41.31263963758407,60.968376579467424,1.5000000000000013e-2,0.0005106208494286932,"cx19_20: 1.177e-2 , cx19_18: 1.232e-2 , cx19_25: 1.732e-2 "
