Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,4.9107155850245165,126.61771693782255,77.23297282255324,3.4499999999999975e-2,0.00019153958445670245,"cx0_1: 8.693e-3 "
1,4.834682306697262,95.40641895377803,21.202407834569073,4.610000000000003e-2,0.0002520009302734844,"cx1_4: 5.217e-2 , cx1_2: 1.007e-2 , cx1_0: 8.693e-3 "
2,4.982355642560861,95.3003066959868,106.20341441448126,1.31e-2,0.00024446196920682923,"cx2_3: 7.177e-3 , cx2_1: 1.007e-2 "
3,5.104892441235556,52.22839930356471,51.86377440211337,8.80000000000003e-3,0.0002510384291456011,"cx3_5: 7.770e-3 , cx3_2: 7.177e-3 "
4,5.003768887235328,100.60784824051159,187.06593821680664,7.420000000000004e-2,0.002363314456252112,"cx4_7: 1.758e-2 , cx4_1: 5.217e-2 "
5,5.03308878529776,77.11909911728398,76.63253669546427,1.3399999999999967e-2,0.0002358211534315557,"cx5_8: 8.516e-3 , cx5_3: 7.770e-3 "
6,4.950546575400044,192.66950986607222,25.57612713162665,3.699999999999992e-2,0.0004297206554514454,"cx6_7: 3.327e-2 "
7,4.905679896070906,131.81649268650133,89.54037408683813,4.7800000000000065e-2,0.00038895239601942924,"cx7_10: 1.283e-2 , cx7_6: 3.327e-2 , cx7_4: 1.758e-2 "
8,4.908182217098904,118.96963166691698,94.88398850035783,1.2199999999999989e-2,0.00031592470421866654,"cx8_5: 8.516e-3 , cx8_11: 1.180e-2 , cx8_9: 1.169e-2 "
9,5.044614668819168,51.75248278581112,63.05963970978206,3.069999999999995e-2,0.0005264964916540858,"cx9_8: 1.169e-2 "
10,5.081929727559667,117.71754889488254,83.21805876107177,9.600000000000053e-3,0.00023254922716672315,"cx10_7: 1.283e-2 , cx10_12: 7.018e-3 "
11,5.034141065394882,107.54388571071759,51.817528152442556,1.0499999999999954e-2,0.00022807349449518882,"cx11_14: 5.279e-3 , cx11_8: 1.180e-2 "
12,4.972271441659048,117.25891619138847,139.17620917636503,3.969999999999996e-2,0.0002680826085947318,"cx12_13: 1.750e-2 , cx12_10: 7.018e-3 , cx12_15: 2.166e-2 "
13,4.86826073501492,149.74600511802706,85.15915324344869,9.700000000000042e-3,0.0005332639295343083,"cx13_12: 1.750e-2 , cx13_14: 7.496e-3 "
14,4.961019643274092,145.67560626948986,102.99806700964105,1.1400000000000077e-2,0.0002188471474616376,"cx14_16: 1.216e-2 , cx14_11: 5.279e-3 , cx14_13: 7.496e-3 "
15,5.033896319424755,84.55589474575716,68.28596580542376,1.760000000000006e-2,0.0003438734792666303,"cx15_18: 1.262e-2 , cx15_12: 2.166e-2 "
16,5.085532349254494,93.25065686413387,69.59963085483338,7.70000000000004e-3,0.0009057927812621999,"cx16_19: 1.166e-2 , cx16_14: 1.216e-2 "
17,5.072222971212187,87.6759845279638,41.30967209021137,1.1800000000000033e-2,0.0006222846093426468,"cx17_18: 1.410e-2 "
18,4.9814049489579455,82.3925080274126,26.123952140631815,3.839999999999999e-2,0.0003964103779693633,"cx18_21: 1.803e-2 , cx18_15: 1.262e-2 , cx18_17: 1.410e-2 "
19,4.983176651984335,88.96422491052009,154.08596430366447,1.4599999999999946e-2,0.0002786260544175921,"cx19_22: 9.033e-3 , cx19_16: 1.166e-2 , cx19_20: 7.439e-3 "
20,5.0822008916025725,91.35505447533063,90.8635031283934,1.9199999999999995e-2,0.00040541705116319763,"cx20_19: 7.439e-3 "
21,5.07338118992829,30.45560938181828,24.911768220614274,2.949999999999997e-2,0.000724095201630597,"cx21_18: 1.803e-2 , cx21_23: 1.338e-2 "
22,5.056975408746907,112.86294979394533,158.21829476583451,4.079999999999995e-2,0.00032126900673324157,"cx22_19: 9.033e-3 , cx22_25: 1.138e-2 "
23,4.972845435574894,75.1071538795365,37.447598280910086,3.7800000000000056e-2,0.0003595851198029956,"cx23_21: 1.338e-2 , cx23_24: 1.574e-2 "
24,5.051506298945492,97.5143710266398,32.68681741792064,3.5599999999999965e-2,0.0003950791806143,"cx24_23: 1.574e-2 , cx24_25: 1.144e-2 "
25,4.934190093778928,77.98033769525807,83.81521889242734,1.7299999999999982e-2,0.000570396924038485,"cx25_26: 1.065e-2 , cx25_22: 1.138e-2 , cx25_24: 1.144e-2 "
26,4.9999491495888355,104.49768273496282,179.3807893952694,1.1300000000000088e-2,0.0002026528753139256,"cx26_25: 1.065e-2 "
